id,nombre,descripcion,precio,precio_oferta,categoria,presentacion,contenido,acidez,stock,imagen,etiqueta,activo,orden
1,Vinagre de Mango Piurano MANGORA 300 ml,"Vinagre natural de mango piurano ideal para ensaladas, marinados y salsas.",14.90,,Vinagre,Botella,300 ml,5% aprox.,25,/images/mangora-botellas.jpg,Producto artesanal,SI,1
2,Pack MANGORA x 2,"Dos botellas de vinagre de mango piurano para uso familiar o gastronómico.",28.00,,Pack,Pack,2 botellas x 300 ml,5% aprox.,15,/images/mangora-botellas.jpg,Más vendido,SI,2
3,Pack Gastronómico MANGORA x 6,"Pack ideal para restaurantes cafeterías hoteles y negocios gastronómicos.",78.00,,Pack gastronómico,Pack,6 botellas x 300 ml,5% aprox.,10,/images/mangora-botellas.jpg,Para negocios,SI,3
4,Galonera 4L,"Cotización especial para negocios gastronómicos.",58.00,56.00,Restaurantes,Cotización,Volumen personalizado,5% aprox.,99,/images/etiqueta-mangora.jpg,Cotizar por WhatsApp,SI,4
